id,predicted_age,confidence,explanation,d_age,difference
10,33.0,0.75,"The user is seeking a long-term, 'rest of my life' relationship, indicating maturity and a desire for commitment. This is balanced by a current stated priority for 'Sex' over 'Love', suggesting someone in their prime who is still very active but ready to settle down. Strong preferences against drug use and messiness, coupled with 'higher than average' self-confidence and being 'usually' open with feelings, point towards a stable individual in their early to mid-thirties.",41.0,8.0
11,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '18s'}]}}",42.0,
12,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '18s'}]}}",31.0,
13,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '15s'}]}}",31.0,
14,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '14s'}]}}",29.0,
16,32.0,0.75,"The user's strong desire for a relationship lasting 'The rest of my life' and a focus on 'Love' over 'Sex' indicates a commitment-oriented individual. This, combined with 'Extremely important' religious views and a strict 'Never' drug use policy (both personally and for a partner), suggests someone mature and serious about finding a stable, long-term partner, often characteristic of individuals in their late 20s to mid-30s who are looking to settle down.",40.0,8.0
15,31.0,0.75,"The user's strong desire for a relationship lasting 'The rest of my life' indicates a mature individual looking for commitment, typically in their late twenties or early thirties. This is balanced by preferences like being vegetarian and an immediate interest in 'Sex', which are common in younger adult demographics, suggesting a person who is established but still embraces contemporary lifestyle choices.",25.0,6.0
17,30.0,0.8,"The user's preference for 'Love' and a relationship lasting 'Several years' suggests a mature approach to dating, beyond casual encounters, but not necessarily seeking immediate lifelong commitment. Their agnosticism and open-mindedness towards a partner's soft drug use are common traits in the late 20s to early 30s demographic, who are often seeking serious, long-term partners while maintaining a modern outlook.",28.0,2.0
18,32.0,0.75,"The user prioritizes 'Love' and seeks a relationship lasting 'Several years,' indicating a stage beyond casual dating but not necessarily an immediate 'rest of my life' commitment. This, combined with an agnostic stance and low importance of religion, points towards someone in their late 20s to early 30s who is emotionally mature and goal-oriented in relationships.",29.0,3.0
19,33.0,0.75,"The user is a man seeking 'The rest of my life' for his next relationship, indicating a strong desire for a long-term commitment, often seen in individuals ready to settle down. His preference against dating someone who does drugs or is messy further suggests a desire for stability and a settled lifestyle. While 'Sex' is what's 'more interesting right now' (over 'Love'), this is likely within the context of a passionate, long-term relationship, rather than purely casual. This combination of seeking long-term commitment, desiring stability, and maintaining a high physical drive is very characteristic of men in their late 20s to late 30s.",30.0,3.0
21,34.0,0.75,"The user's strong desire for a 'rest of my life' relationship, coupled with religion being 'Extremely important' and a 'Never' stance on drugs (and not dating drug users), indicates a person with well-established values seeking a serious, long-term commitment. This profile often aligns with individuals in their early to mid-30s who are past casual dating and actively looking to settle down. High self-confidence and a cautious but open approach to meeting also fit this age range.",30.0,4.0
22,31.0,0.8,"The user prioritizes 'Love' over 'Sex' and desires a relationship lasting 'Several years,' indicating a mature approach to dating and a preference for serious commitment, but not necessarily immediate lifelong partnership. Their emotional openness, high self-confidence, and clear boundaries (no drugs) suggest someone in their late 20s to early 30s who is actively seeking a stable and meaningful connection.",29.0,2.0
20,30.0,0.75,"The user's desired relationship length ('A few months to a year') suggests they are seeking meaningful connections but aren't necessarily looking for an immediate lifelong commitment, which is common in the late 20s to early 30s. This is further supported by their atheism and comfort with 'soft drugs like marijuana,' aligning with younger adult demographics. Their interest in 'Love' and being 'Usually' open with feelings indicates a level of emotional maturity and a desire for genuine connection, placing them past the very early 20s.",29.0,1.0
24,32.0,0.8,"The user seeks 'Love' but desires a relationship lasting 'A few months to a year,' suggesting a serious but not immediate long-term commitment. This, combined with their tolerance for 'soft stuff like marijuana' and 'Sometimes' drug use, less importance on religion, and a 'Hesitant' but willing approach to meeting in person, points to someone in their late 20s to early 30s who is exploring options with a degree of maturity and open-mindedness.",25.0,7.0
23,31.0,0.8,"The user seeks 'Love' and a relationship lasting 'Several years,' indicating a mature desire beyond casual dating. High self-confidence and emotional openness ('Always' open with feelings) suggest a developed personality. While personally abstaining from drugs ('Never'), tolerance for 'soft stuff like marijuana' in a partner points to a contemporary, open-minded perspective often seen in the late 20s to early 30s. This age range aligns well with someone seeking a significant, but not necessarily 'rest of my life,' relationship.",28.0,3.0
25,32.0,0.8,"The user seeks 'Love' and a relationship lasting 'Several years', suggesting a desire for a significant, but not necessarily lifelong, partnership. Their progressive stance on dating someone who uses 'soft drugs like marijuana' (despite personal non-use) combined with 'not very important' religion aligns with a younger to middle-aged adult demographic. High willingness to meet and 'higher than average' self-confidence further support this age range, placing them past early twenties but not yet in their late 40s or beyond.",26.0,6.0
26,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '14s'}]}}",47.0,
27,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '13s'}]}}",26.0,
28,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '10s'}]}}",37.0,
29,32.0,0.75,"The user desires 'Love' but specifies a relationship length of 'A few months to a year', suggesting they are past purely casual dating but not yet seeking a lifelong commitment. This, combined with established values (Atheism, never uses drugs, wouldn't date drug users) points to someone in their late 20s to mid-30s who is mature, self-aware (average confidence, usually open), and serious about dating.",18.0,14.0
30,28.0,0.75,"The user's desire for a relationship lasting 'a few months to a year' is a key indicator for someone in their late 20s or early 30s, often exploring options but not yet seeking lifelong commitment. This is further supported by a current interest in 'Sex' over 'Love,' occasional drug use, and a 'Not at all important' stance on religion, which commonly align with this demographic.",21.0,7.0
33,34.0,0.75,"The user is a woman who prioritizes 'Love' and explicitly states she wants her next relationship to last 'The rest of my life.' She has strong preferences for a partner who does not use drugs and is not messy, indicating a desire for stability and a settled lifestyle. These factors, combined with a 'Higher than average' self-confidence and a cautious but open approach to meeting online, point to someone in their early to mid-30s who is seriously looking for a long-term, committed partnership rather than casual dating.",35.0,1.0
31,31.0,0.7,"The user expresses open-mindedness towards a partner's lifestyle (e.g., okay with soft drugs, identifies as Atheist, religion 'Not at all important') and lists 'Sex' as currently most interesting. These traits are common in younger adults. However, the strong desire for a relationship lasting 'The rest of my life' indicates a readiness for a serious commitment, moving beyond the very casual dating scene, which points to someone in their late 20s to early 30s.",26.0,5.0
32,32.0,0.75,"The strong desire for a lifelong relationship ('The rest of my life') and emphasis on 'Love' over 'Sex' suggest someone serious about commitment and past casual dating. This, combined with emotional openness ('Usually' open with feelings) and a modern, accepting view on soft drug use in a partner, points to an individual likely in their late 20s or early 30s who is looking to settle down.",41.0,9.0
34,28.0,0.75,"The user prioritizes 'Sex' over 'Love' right now and desires a relationship lasting 'A few months to a year,' indicating a focus on casual connections rather than long-term commitment. This, combined with high self-confidence and being 'Always' open with feelings, points to a self-assured individual in their late 20s who is not looking to settle down immediately. Their strict 'Never' drug use and unwillingness to date drug users suggest a clear personal boundary, common in this age range.",26.0,2.0
35,32.0,0.85,"The user's desire for a relationship lasting 'A few months to a year' is a key indicator, suggesting someone past casual dating but not necessarily looking for an immediate life-long commitment, common in late 20s to mid-30s. Their openness to dating someone who uses 'soft stuff like marijuana' while personally abstaining, and identifying as Christian but not finding religion 'very important,' aligns with a modern, independent individual in this age range who values 'Love' and emotional openness.",41.0,9.0
38,29.0,0.8,"The user's desire for a relationship lasting 'a few months to a year,' openness to dating someone who uses 'soft drugs like marijuana,' and 'Atheism' suggests a person in their late twenties. This age typically balances exploration and a degree of commitment, being past purely casual dating but not yet prioritizing long-term partnership.",30.0,1.0
36,27.0,0.8,"The user's desire for a relationship lasting 'A few months to a year' is a strong indicator, suggesting they are past casual hookups but not yet focused on a lifelong commitment. This, combined with their current interest in 'Sex' over 'Love' and 'Higher than average' self-confidence, points to someone in their mid-to-late twenties who is actively exploring relationships and self-discovery.",34.0,7.0
39,29.0,0.75,"The user's desire for a relationship lasting 'a few months to a year' suggests a stage beyond casual dating but not yet seeking immediate long-term commitment. This, combined with recreational marijuana use, a current focus on 'sex,' and a less strict view on religion despite affiliation, points towards someone in their late 20s or early 30s.",42.0,13.0
40,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '14s'}]}}",29.0,
41,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '13s'}]}}",26.0,
37,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '13s'}]}}",18.0,
42,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '12s'}]}}",47.0,
47,33.0,0.8,"The user's strong desire for a relationship lasting 'the rest of my life,' prioritizing 'Love' over 'Sex,' and a cautious yet open approach to meeting people online ('Hesitant, but I'd certainly consider it') strongly suggest someone past the exploratory phase of dating. Coupled with a preference for stability (no drug use or dating drug users), this profile aligns well with a woman in her early to mid-thirties who is actively seeking a serious, long-term commitment.",41.0,8.0
46,31.0,0.8,"The user's desire for a 'several years' relationship, combined with their open-mindedness to partners using 'soft stuff like marijuana' (while not using drugs themselves), points to someone in their late 20s to early 30s. Their 'higher than average' self-confidence, 'usually' open emotional style, and prioritization of 'sex' over 'love' right now, further align with an individual in this age range who is established yet still actively exploring and enjoying their prime.",49.0,18.0
43,34.0,0.8,"The user's strong desire for a 'The rest of my life' relationship, coupled with 'Extremely important' religion and a strict 'No' to dating drug users (and never using drugs themselves), indicates a mature individual seeking a serious, long-term commitment with traditional values. This profile typically aligns with someone in their early to mid-thirties who is ready to settle down. While being vegetarian/vegan is seen across age groups, it fits well with a health-conscious and ethically minded individual in this age bracket.",21.0,13.0
44,32.0,0.75,"The user prioritizes 'Love' and explicitly states wanting their next relationship to last 'The rest of my life,' which strongly indicates a desire for a serious, long-term commitment. This, coupled with a 'Never' stance on drugs and an unwillingness to date drug users, suggests a mature individual past the experimental phases, likely in their late 20s to mid-30s, who is seeking stability and a committed partnership.",38.0,6.0
45,32.0,0.8,"The user prioritizes 'Love' and seeks a relationship lasting 'Several years,' indicating a desire for a serious, long-term commitment beyond casual dating, but perhaps not immediate marriage. Their 'Never' drug use and unwillingness to date messy individuals suggest a responsible, stable, and established lifestyle. These traits are commonly found in individuals in their late 20s to mid-30s who are looking to build a significant partnership.",33.0,1.0
48,33.0,0.75,"The user's desire for 'Love' and a relationship lasting 'Several years' (but not 'the rest of my life') suggests being past the casual dating phase but not yet in the 'final partner' search. Combined with strong preferences against drug use ('Never' and 'No' to dating users) and messiness, high self-confidence, and emotional openness, this profile points to a responsible, mature individual. The 'Hesitant, but I'd certainly consider it' for meeting in person indicates a balanced approach, not naive but not jaded. These traits align well with someone in their early to mid-thirties who is established and seeking a stable, serious relationship.",28.0,5.0
50,33.0,0.85,"The user strongly prioritizes love and a lifelong relationship, shows high religious importance, and has conservative views on drug use. These factors, combined with eagerness to meet in person, suggest someone in their early to mid-thirties who is seeking a stable, committed partnership.",54.0,21.0
49,24.0,0.85,"The user's preference for 'Sex' over 'Love' right now, combined with a desired relationship length of 'A few months to a year', strongly indicates a younger individual in their early to mid-20s who is exploring dating and not yet seeking long-term commitment. His high self-confidence and atheistic views further align with this demographic.",25.0,1.0
51,34.0,0.85,"The user's strong emphasis on 'Love' over 'Sex,' desire for a relationship lasting 'The rest of my life,' and the 'Extremely important' role of Catholicism, combined with a strict stance against drug use, collectively suggest a mature individual primarily seeking a stable, long-term, and committed partnership, typically aligning with someone in their early to mid-thirties who is looking to settle down.",26.0,8.0
52,32.0,0.85,"The user desires a relationship lasting 'several years' and prioritizes 'Love', suggesting a mature approach to dating. Their willingness to date someone who uses 'soft stuff like marijuana' indicates a generational perspective often seen in individuals in their late 20s to mid-30s, who are generally more open to such topics than older generations but still maintain boundaries. This combination points towards someone in their early to mid-thirties.",22.0,10.0
53,30.0,0.75,"The user's preference for a relationship lasting 'A few months to a year' is a strong indicator, suggesting someone past casual hookups but not yet seeking immediate lifelong commitment, which is common in the late twenties to early thirties. The desire for 'Love' and being 'Rarely' open with feelings, alongside an 'Atheism' stance, generally align with this age profile.",29.0,1.0
54,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '17s'}]}}",25.0,
55,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '16s'}]}}",28.0,
56,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '14s'}]}}",33.0,
57,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '9s'}]}}",24.0,
59,38.0,0.8,"The user seeks a long-term relationship ('Several years'), prioritizes 'Love', and exhibits emotional maturity ('Always' open with feelings, 'Higher than average' self-confidence). A strong anti-drug stance ('Never', 'No' to dating drug users) and clear preferences suggest an established individual. These traits collectively point to someone in their late 30s or early 40s, actively seeking a serious partner.",32.0,6.0
58,29.0,0.75,"The user desires a relationship lasting 'A few months to a year,' indicating they are past casual encounters but not necessarily seeking a long-term commitment. This preference, combined with a 'Sometimes' attitude towards drugs and a willingness to date someone who uses them, points to a younger adult demographic, likely in their late 20s or early 30s, who are exploring relationships and life experiences without immediate pressure to settle down.",20.0,9.0
