row_index,predicted_age,confidence,explanation
63200,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10\nPlease retry in 10.558675409s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '10s'}]}}"
67259,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10\nPlease retry in 10.175738617s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '10s'}]}}"
45513,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10\nPlease retry in 7.225750262s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '7s'}]}}"
4201,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10\nPlease retry in 3.477433743s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '3s'}]}}"
48367,38.0,0.8,"The user's strong desire for a relationship lasting 'The rest of my life' suggests a mature individual actively seeking a life partner, commonly seen in the late 20s to early 40s. This is further supported by 'Love' being more interesting than 'Sex,' and deeply held traditional values such as 'Extremely important' religion and a strict 'Never' policy on drugs, indicating a serious and settled approach to dating and life."
32859,32.0,0.75,"The user is a confident man seeking 'Love' and a relationship lasting 'Several years,' indicating a desire for a serious, committed partnership without the immediate pressure of 'The rest of my life.' This, combined with being 'Totally willing!' to meet, suggests an active, enthusiastic individual past the very casual dating phase but not yet in an age bracket typically seeking immediate 'forever.' These characteristics align well with someone in their late 20s to early 30s. The 'Agnosticism' and lack of strong religious importance are common across various age groups but don't contradict this estimate."
49417,28.0,0.75,"The user's desire for a lifelong relationship and high willingness to meet suggests a serious dating intent, typically past early 20s. However, their focus on 'Sex' currently (q35), vegetarian/vegan lifestyle (q179268), and lower religious importance (q41) are traits often more prevalent in younger adult demographics. This combination points towards someone in their late twenties, balancing maturity with characteristics of a younger population."
29451,35.0,0.75,"The user prioritizes 'Love' and desires a relationship lasting 'Several years,' indicating a mature approach to dating. Their willingness to date someone who uses 'soft stuff like marijuana' suggests a modern perspective common among millennials or younger Gen X, placing them likely in their late 20s to late 30s. This is further supported by their agnostic views and average self-confidence."
37184,32.0,0.75,"The user's strong desire for a relationship to last 'the rest of my life' indicates a readiness for serious commitment, common in late 20s to mid-30s. Their abstinence from drugs and refusal to date drug users suggests a stable and conventional lifestyle. The focus on 'Sex' as currently interesting, when paired with the long-term goal, points to someone in their prime seeking a complete and lasting partnership."
43631,31.0,0.75,"The user's atheistic views, openness to soft drugs like marijuana, and preference for relationships lasting 'a few months to a year' align well with a demographic in their late 20s to early 30s. This age group often values love and self-confidence, while being realistic about relationship progression without necessarily committing to a lifetime immediately."
48935,32.0,0.75,"The user prioritizes 'Love' and seeks a relationship for 'the rest of my life,' indicating a strong desire for long-term commitment. This, coupled with 'Extremely important' religious belief and a strict 'Never' stance on drugs (and not dating drug users), suggests an emotionally mature individual focused on stability and settling down. These traits are common in individuals in their late 20s to late 30s who are past the early exploratory dating phase."
46335,33.0,0.8,"The user prioritizes 'Love' and desires a relationship lasting 'Several years,' indicating a readiness for a serious, committed partnership beyond casual dating. Their low importance of religion and 'Higher than average' self-confidence suggest a mature yet modern individual. This combination points to someone in their late twenties to mid-thirties, actively seeking a stable relationship."
36416,33.0,0.75,"The user prioritizes 'Love' and desires a relationship lasting 'Several years', suggesting a focus on serious, established partnerships, which is common for individuals in their late 20s to late 30s. Their nuanced stance on drugs (personally 'Never' but open to a partner using 'soft stuff like marijuana') aligns with a demographic that has seen the normalization of cannabis but maintains personal boundaries. This combination points towards a mature yet contemporary individual."
47855,31.0,0.8,"The user's desired relationship length of 'a few months to a year' suggests someone past casual dating but not necessarily seeking immediate lifelong commitment. This, combined with openness to soft drug use (both for self and partner), a focus on 'love,' and 'higher than average' self-confidence, points towards an individual in their late 20s to early 30s who is likely establishing their career and seeking meaningful connections."
22174,33.0,0.75,"The desire for a relationship lasting 'Several years' (not 'one night' nor 'the rest of my life'), prioritizing 'Love' over 'Sex', and a nuanced acceptance of 'soft stuff like marijuana' in a partner strongly suggest someone in their late 20s to late 30s. This individual appears to be past early youthful experimentation but not necessarily seeking a lifelong commitment, while also demonstrating moderate open-mindedness regarding lifestyle choices."
37786,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10\nPlease retry in 9.832340884s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '9s'}]}}"
46469,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10\nPlease retry in 8.606069516s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '8s'}]}}"
21541,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10\nPlease retry in 8.074337137s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '8s'}]}}"
13830,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10\nPlease retry in 3.449783706s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '3s'}]}}"
24994,32.0,0.75,"The strong desire for a 'rest of my life' relationship, coupled with a focus on 'Love,' cautious willingness to meet, and developed preferences against drug use and messiness, suggests someone in their late 20s to late 30s actively seeking a long-term partner. Her higher-than-average self-confidence and moderate openness also align with this age range."
63796,33.0,0.75,"The user's strong desire for a 'rest of my life' relationship and focus on 'Love' over 'Sex' suggests a maturity beyond the early 20s. His emotional openness and average self-confidence also point towards a stable, adult personality. While he personally abstains from drugs, his willingness to date someone who uses 'soft stuff like marijuana' indicates a modern and balanced perspective, often found in the late 20s to late 30s demographic, who are serious about commitment but also open-minded."
10010,30.0,0.75,"The primary indicator is the desired relationship length ('A few months to a year'), which suggests someone past casual dating but not yet seeking a lifelong commitment, typically aligning with late 20s to early 30s. Other factors like 'Sex' as a current interest, 'Not at all important' for religion, 'Higher than average' confidence, and being 'Always' open with feelings also fit a person in this age range who is emotionally mature but still exploring."
23660,32.0,0.75,"The user's desire for a relationship lasting 'The rest of my life' suggests a maturity beyond the early twenties. However, their current prioritization of 'Sex' over 'Love' and their acceptance of dating someone who uses 'soft stuff like marijuana' indicates a modern and relatively open-minded outlook, which is more commonly found in younger to middle-aged adults. This combination points towards someone in their late 20s to mid-30s, balancing a desire for long-term commitment with a progressive stance on lifestyle and intimacy."
52279,24.0,0.85,"The user's desire for a relationship lasting 'a few months to a year' suggests an exploratory phase of dating, common in the early to mid-twenties. This is reinforced by their openness to dating someone who uses 'soft stuff like marijuana' and high willingness to meet in person, indicating an active and somewhat flexible approach to dating, typical for this age group."
6865,29.0,0.8,"The user's stated desire for a relationship lasting 'A few months to a year,' not 'one night' or 'the rest of my life,' strongly suggests someone exploring relationships beyond casual hookups but not yet focused on long-term commitment. This, combined with a current interest in 'Sex,' an atheistic stance, and comfort with drug use, aligns well with an individual in their late 20s who is actively dating and exploring their options."
46368,27.0,0.8,"The user prioritizes sex over love, seeks relationships lasting 'A few months to a year,' is 'Totally willing!' to meet in person, and is open to dating someone who uses drugs. These preferences, along with an interest in scary movies, strongly suggest a younger individual in their mid-to-late twenties who is exploring relationships and less focused on long-term commitment."
1913,28.0,0.8,"The user's frequent drug use and acceptance of a partner using 'soft drugs' strongly suggest a younger adult demographic. The low importance placed on religion further supports this. While seeking 'Love' and desiring a relationship of 'a few months to a year' indicates a more serious approach than casual hookups, it's not aiming for immediate long-term commitment, placing them squarely in the mid-to-late twenties."
57549,28.0,0.75,"The user's preference for a relationship lasting 'A few months to a year' suggests they are past very casual dating but not yet seeking a lifelong commitment, often characteristic of individuals in their mid-20s to early 30s. This is further supported by their acceptance of dating someone who uses 'soft stuff like marijuana' and their own occasional drug use, which aligns with younger demographics. A lower importance placed on religion also tends to be more common in younger adults."
26443,24.0,0.8,"The user's strong preference for 'One night' relationships and prioritizing 'Sex' over 'Love,' combined with 'Atheism' and 'Sometimes' drug use, strongly suggests a younger individual, likely in their early to mid-20s, exploring casual encounters and less traditional values."
23756,30.0,0.85,"The user's preference for a relationship lasting 'A few months to a year,' combined with their Atheism and low importance of religion, and acceptance of 'soft stuff like marijuana' for a partner, strongly suggests someone in their late 20s to early 30s. This age group is often past casual hookups but not necessarily seeking 'the rest of my life' yet, and aligns with modern social views."
10788,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10\nPlease retry in 10.202020953s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '10s'}]}}"
35967,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10\nPlease retry in 8.829226574s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '8s'}]}}"
48238,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10\nPlease retry in 4.84594501s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '4s'}]}}"
5689,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10\nPlease retry in 4.010907375s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '4s'}]}}"
67922,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10\nPlease retry in 3.514612031s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '3s'}]}}"
38824,30.0,0.8,"The user prioritizes sex over love and is open to dating someone who uses soft drugs, which often points to a younger demographic. High self-confidence and willingness to meet in person also fit this profile. However, their desire for a relationship lasting 'Several years' suggests they are past purely casual dating and looking for something more substantial, aligning with someone in their late 20s to early 30s."
29794,33.0,0.75,"The user's strong desire for 'The rest of my life' as the length of her next relationship is a primary indicator of someone seeking long-term commitment, typically seen in individuals past their early twenties. Her preference for 'Love' over 'Sex' and strict 'No' stance on drugs further support a mature outlook on relationships and life choices. Coupled with 'Very, very high' self-confidence and usually being 'open with feelings', these traits suggest a woman in her late twenties to mid-thirties who is ready to settle down."
26070,37.0,0.75,"The strong desire for 'Love' and a relationship lasting 'The rest of my life,' combined with deeply held traditional values (religion 'Extremely important,' 'Never' uses drugs, 'No' to dating drug users), indicates a mature individual actively seeking a stable, long-term partner. This profile is common among people in their late 20s to early 40s who are looking to settle down and build a future."
178,31.0,0.75,"The user's desire for a relationship lasting 'Several years' indicates a stage beyond casual dating but not necessarily an immediate 'rest of my life' commitment, common in the late 20s to early 30s. Prioritizing 'Love' and having clear lifestyle preferences (no drugs, no mess) combined with 'Higher than average' self-confidence suggests an established and mature individual within this age range."
57767,32.0,0.75,"The user's preference for relationships lasting 'a few months to a year' is a key indicator, suggesting they are past the 'one night' phase but not necessarily seeking lifelong commitment, which is common in late 20s to mid-30s. Their high self-confidence, active approach to meeting people, and atheistic stance further align with this age range."
2436,34.0,0.8,"The user's strong desire for their next relationship to last 'The rest of my life' and prioritizing 'Love' over 'Sex' are key indicators of someone seeking a serious, long-term commitment, likely past the initial dating exploration phase. This profile suggests a mature individual, consistent with an age in their early to mid-30s."
9685,34.0,0.75,"The user's desire for a relationship lasting 'Several years' (q41953) suggests they are past the casual dating phase but not necessarily looking for a 'rest of my life' commitment, often characteristic of the late 20s to late 30s. Their openness to dating someone who uses 'soft stuff like marijuana' (q9688) and 'Totally willing!' attitude to meeting in person (q16053) also align with this age range, indicating a modern and engaged approach to dating."
21475,35.0,0.75,"The user prioritizes 'Love' over 'Sex' and explicitly states wanting their next relationship to last 'The rest of my life,' indicating a strong desire for a long-term, committed partnership. Their religion is 'Extremely important,' and they 'Never' use drugs and would 'No' date someone who does, suggesting a conservative and value-driven individual. These factors combined point to someone past their early twenties, likely in their mid-thirties, seeking stability and a life partner."
38219,33.0,0.75,"The user's atheism and low importance of religion are common in younger to middle-aged demographics. Their relationship goal of 'a few months to a year' suggests they are past purely casual dating but not necessarily seeking an immediate lifelong commitment, which often aligns with individuals in their late 20s to mid-30s. The desire for 'Love' and high willingness to meet in person further supports an active and mature, yet flexible, approach to dating."
27080,31.0,0.75,"The user desires a relationship lasting 'A few months to a year,' indicating they are past casual hookups but not yet seeking a lifelong commitment. This, combined with their willingness to date someone who uses 'soft stuff like marijuana,' points towards a younger adult demographic, likely in their late 20s to mid-30s, where such preferences and open-mindedness are common."
33625,35.0,0.8,"The user seeks 'Love' and desires a relationship lasting 'Several years', indicating a mature approach to dating that goes beyond casual encounters but isn't necessarily focused on 'the rest of my life'. Their tolerance for dating someone who uses 'soft drugs' despite not using drugs themselves, along with religion being 'Not at all important', suggests a progressive and open-minded outlook often found in younger to middle-aged adults. High self-confidence and willingness to meet further support an active dater who is established and knows what they want. This combination of traits points towards someone in their mid-thirties."
27232,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10\nPlease retry in 10.712020963s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '10s'}]}}"
